#{"t_start": 1763984460.8781476, "env_id": "None"}
r,l,t
-0.403694,24,0.231023
0.800048,24,0.328438
-0.63658,24,0.462179
-0.968774,24,0.608393
1.337345,24,0.739098
0.280509,24,0.851556
0.805978,24,0.978243
1.814529,24,1.080191
1.857401,24,1.155213
0.679591,24,1.227959
-2.09337,24,1.305816
3.704825,24,1.380203
1.421678,24,1.440234
0.137873,24,1.522785
0.219676,24,1.580226
1.570997,24,1.65205
1.150448,24,1.759225
0.568254,24,1.830285
0.205761,24,1.900212
2.401725,24,1.960224
0.54358,24,2.050189
1.417363,24,2.139223
0.741001,24,2.22305
1.270081,24,2.290237
1.150827,24,2.340213
-0.559987,24,2.410264
-0.463298,24,2.473546
1.259058,24,2.55019
-0.878669,24,2.632478
0.611545,24,2.711258
2.372829,24,2.800219
1.963777,24,2.873366
1.122343,24,2.944047
1.182672,24,3.110564
-0.307441,24,3.239738
1.181864,24,3.458473
2.095984,24,3.875812
2.583479,24,4.135583
0.929096,24,4.250297
2.335267,24,4.352443
0.442036,24,4.435328
1.888084,24,4.545945
2.559014,24,4.618276
0.122059,24,4.690194
-1.689935,24,4.740202
0.959304,24,4.822643
0.961764,24,4.881675
2.283344,24,4.952277
1.005772,24,5.012266
-0.439506,24,5.114372
1.568963,24,5.189199
-0.344371,24,5.25077
3.220857,24,5.338042
2.260059,24,5.410265
-1.03061,24,5.460223
2.952853,24,5.530253
0.914866,24,5.610261
-1.396631,24,5.6905
0.378319,24,5.75029
0.550342,24,5.810194
-1.473366,24,5.891306
0.730963,24,5.960194
1.01416,24,6.040195
2.618356,24,6.126566
0.67222,24,6.202302
-1.993566,24,6.280212
1.117998,24,6.354833
-0.271849,24,6.422158
-1.239051,24,6.497799
0.034946,24,6.572157
1.962445,24,6.659092
-0.21576,24,6.768353
-0.187833,24,6.839126
1.11128,24,6.922507
0.813335,24,6.989459
0.274333,24,7.074694
0.514493,24,7.150263
2.195519,24,7.229341
1.568552,24,7.300378
2.247547,24,7.369197
-0.983517,24,7.468249
-0.062725,24,7.543939
1.587868,24,7.627814
2.207154,24,7.728621
1.131231,24,7.828896
-1.203172,24,7.904877
0.598879,24,7.988386
1.885805,24,8.059235
1.290785,24,8.140211
-1.26409,24,8.221243
-1.010203,24,8.302982
1.737825,24,8.388684
1.254857,24,8.518976
0.69788,24,8.683045
2.03612,24,8.849693
-0.722855,24,8.965776
1.150389,24,9.089249
-0.453434,24,9.230266
-1.801569,24,9.356185
1.166912,24,9.43019
1.411676,24,9.497382
0.434051,24,9.58209
1.733105,24,9.651772
2.1011,24,9.730008
0.568782,24,9.809447
1.618462,24,9.880216
-0.753352,24,9.957109
0.951848,24,10.030305
-0.026167,24,10.109262
-0.359709,24,10.160231
2.928222,24,10.230292
1.813798,24,10.319222
0.188427,24,10.380201
0.941223,24,10.454609
3.091272,24,10.510303
2.472423,24,10.570296
-1.841849,24,10.639401
-0.746552,24,10.710303
1.322187,24,10.772269
1.099772,24,10.830259
1.509058,24,10.90604
1.767112,24,10.960285
0.209407,24,11.03039
1.326755,24,11.106807
1.110458,24,11.160237
1.176493,24,11.232875
2.14543,24,11.304263
-0.232646,24,11.369214
-1.71211,24,11.430264
1.534655,24,11.489898
-0.394822,24,11.572548
0.063552,24,11.639456
1.268945,24,11.708122
-0.298403,24,11.772219
1.96823,24,11.830998
-0.887572,24,11.890258
-1.378223,24,11.955806
