#{"t_start": 1763985138.2838807, "env_id": "None"}
r,l,t
1.85423,24,0.141996
2.258962,24,0.213283
0.009356,24,0.320013
-0.098738,24,0.4112
1.813742,24,0.509312
1.514752,24,0.592222
-0.897111,24,0.690969
1.345791,24,0.790993
-1.028828,24,0.899988
-1.192826,24,1.024102
0.083486,24,1.118828
-1.046838,24,1.20202
0.625518,24,1.312203
0.836329,24,1.392926
-1.658616,24,1.484015
-1.244654,24,1.581901
1.37326,24,1.670042
-0.004592,24,1.769092
2.117372,24,1.851385
1.352032,24,1.950023
1.29188,24,2.041002
2.346967,24,2.131039
2.791379,24,2.231045
0.982519,24,2.319019
-0.518727,24,2.401278
-0.950897,24,2.501055
2.049944,24,2.590049
-0.892513,24,2.680541
1.139976,24,2.760994
1.203111,24,2.851002
0.848744,24,2.944031
-0.996492,24,3.038836
0.287071,24,3.141459
0.818247,24,3.241061
-0.597986,24,3.341126
1.345015,24,3.43062
0.092426,24,3.522617
-0.051417,24,3.628995
1.292709,24,3.719263
1.153311,24,3.801419
1.00246,24,3.90133
1.035668,24,4.033758
3.366127,24,4.141119
-0.096513,24,4.224954
1.022641,24,4.324552
1.971889,24,4.411003
1.264704,24,4.509286
1.973572,24,4.611293
0.148983,24,4.70029
3.037085,24,4.791045
-0.598675,24,4.898784
2.309958,24,4.972077
0.572044,24,5.072344
-0.382852,24,5.172088
-0.287021,24,5.250969
0.146335,24,5.360732
0.008969,24,5.451102
2.451403,24,5.551061
2.85525,24,5.641113
0.84361,24,5.739077
1.829861,24,5.841346
0.671005,24,5.93049
-0.937596,24,6.031057
-0.192467,24,6.122686
0.852397,24,6.221986
-0.009833,24,6.3232
2.440647,24,6.411043
0.171662,24,6.51135
1.085839,24,6.591069
1.290277,24,6.67778
1.776543,24,6.7721
0.961536,24,6.860025
-0.755071,24,6.941016
1.217616,24,7.024687
2.722209,24,7.111053
1.719219,24,7.223692
0.078276,24,7.311057
0.776531,24,7.411475
1.742391,24,7.506981
