#{"t_start": 1763982995.2204924, "env_id": "None"}
r,l,t
-0.315393,24,0.075809
1.428625,24,0.114684
-0.774071,24,0.153986
0.288573,24,0.202968
0.83388,24,0.247159
-0.380561,24,0.443976
1.389983,24,0.486138
2.026574,24,0.513667
0.184686,24,0.556072
-0.449506,24,0.585454
1.349263,24,0.752983
2.742499,24,0.791979
2.829248,24,0.829294
1.364132,24,0.86454
1.521304,24,0.89589
1.122443,24,0.933986
0.695569,24,1.136013
2.227694,24,1.174108
0.12447,24,1.213623
-0.264634,24,1.251954
1.660699,24,1.297017
-0.451238,24,1.535538
2.163337,24,1.56413
0.973184,24,1.604606
-0.235008,24,1.653909
1.040096,24,1.686
-1.720981,24,1.853936
-0.065065,24,1.902512
1.202398,24,1.936033
2.361047,24,1.964509
0.67786,24,2.006753
0.095718,24,2.046901
1.749011,24,2.204016
1.124571,24,2.244185
0.496629,24,2.273968
-0.881297,24,2.313573
2.128652,24,2.346908
-0.92409,24,2.546955
0.652666,24,2.601152
1.777751,24,2.654039
0.383038,24,2.704012
0.922368,24,2.746968
0.977007,24,3.016412
2.226962,24,3.053972
1.012428,24,3.085547
0.035522,24,3.129211
1.926202,24,3.153962
1.34786,24,3.197527
-0.056874,24,3.374012
1.772315,24,3.405514
-0.042773,24,3.447756
2.771935,24,3.483942
0.072003,24,3.515057
0.473383,24,3.696789
1.216774,24,3.735513
2.105571,24,3.781765
2.280895,24,3.814427
1.634215,24,3.846831
-0.380533,24,4.053981
-1.180304,24,4.092336
2.245179,24,4.123971
0.222288,24,4.153978
1.152999,24,4.186074
0.655838,24,4.214139
2.120496,24,4.619068
1.195381,24,4.686687
2.562479,24,4.723012
2.926572,24,4.761827
0.682908,24,4.794551
2.700527,24,4.996598
1.532172,24,5.025518
-0.965455,24,5.054704
1.685365,24,5.097247
0.759581,24,5.131124
-0.300325,24,5.324133
1.852437,24,5.366189
0.270566,24,5.401847
0.919065,24,5.432135
2.124033,24,5.464377
2.588242,24,5.502966
-1.379275,24,5.681304
-0.949886,24,5.715306
0.270413,24,5.754151
0.835738,24,5.843768
1.791918,24,5.885609
3.059705,24,6.093268
1.280535,24,6.123968
1.049246,24,6.154641
-0.907598,24,6.203024
0.387351,24,6.248672
-0.1068,24,6.482482
2.163914,24,6.53335
1.906246,24,6.574856
0.062242,24,6.63363
1.285753,24,6.687182
-0.979012,24,6.737748
-0.151754,24,6.99011
0.588081,24,7.043009
-0.543265,24,7.092844
0.491322,24,7.13567
-1.259187,24,7.185749
1.512756,24,7.464761
3.557638,24,7.49754
0.806359,24,7.537152
-0.668391,24,7.57297
-0.953032,24,7.608079
1.478993,24,7.785514
1.158204,24,7.830619
0.798161,24,7.86332
2.218999,24,7.896551
0.282177,24,7.935572
-0.541427,24,7.985494
1.463922,24,8.14729
-0.396547,24,8.186101
0.324786,24,8.231985
1.590444,24,8.263209
2.351497,24,8.304027
0.119304,24,8.504163
2.930174,24,8.543347
0.052486,24,8.577792
0.778897,24,8.613225
1.155394,24,8.653972
1.130979,24,8.883983
0.179763,24,8.914117
0.913389,24,8.946568
0.528525,24,8.985475
1.941112,24,9.029934
1.084497,24,9.073183
0.864295,24,9.242333
0.136097,24,9.281404
1.483203,24,9.315018
-0.218105,24,9.355155
1.037808,24,9.385513
0.706698,24,9.584042
-0.950536,24,9.622124
0.73149,24,9.653992
1.818821,24,9.692639
0.232559,24,9.723987
2.250151,24,9.931929
2.89344,24,9.962866
1.412156,24,10.003979
1.399892,24,10.04556
-0.791538,24,10.082911
-0.171153,24,10.114818
0.260059,24,10.283971
1.158539,24,10.314243
1.076058,24,10.346461
0.041363,24,10.384931
2.838698,24,10.4143
0.836051,24,10.585503
1.293504,24,10.629878
1.990498,24,10.671198
0.06126,24,10.705836
1.717763,24,10.752106
1.036294,24,10.933309
0.143159,24,10.979831
1.774629,24,11.013223
1.064152,24,11.053986
-0.635683,24,11.09228
2.143498,24,11.124005
-1.323756,24,11.314703
1.05341,24,11.353999
0.444998,24,11.395504
3.761207,24,11.42447
1.746425,24,11.463098
1.969176,24,11.635525
0.018613,24,11.664365
2.480572,24,11.707424
0.300593,24,11.74407
-1.168666,24,11.772978
1.8965,24,11.947102
3.587832,24,11.980783
1.407228,24,12.014128
1.814543,24,12.053213
1.002247,24,12.085515
0.847183,24,12.135037
0.559227,24,12.342728
-0.428245,24,12.392129
1.737037,24,12.431802
-1.110488,24,12.462096
2.112257,24,12.497626
2.01165,24,12.672242
1.552138,24,12.702896
2.133858,24,12.753533
2.272943,24,12.783972
1.918614,24,12.815235
0.599772,24,12.973996
-0.961968,24,13.012109
-0.252237,24,13.052119
1.88732,24,13.086028
0.738103,24,13.121143
