#{"t_start": 1763982055.5731425, "env_id": "None"}
r,l,t
0.852464,24,0.048918
2.019614,24,0.065551
1.306865,24,0.077684
1.089808,24,0.086735
2.494655,24,0.097652
-0.349221,24,0.108724
1.088953,24,0.117483
1.264168,24,0.12648
-0.605817,24,0.141218
-0.996113,24,0.147643
-1.216023,24,0.161122
1.326422,24,0.176671
1.590162,24,0.197646
0.167582,24,0.210469
-0.044514,24,0.232105
0.596666,24,0.246783
0.592902,24,0.257793
1.570452,24,0.26928
0.979118,24,0.277677
-0.761743,24,0.290787
1.851752,24,0.297647
2.677839,24,0.309422
1.664134,24,0.31766
3.092379,24,0.327635
0.997886,24,0.345777
-0.49495,24,0.347647
1.515801,24,0.362343
-1.414419,24,0.367702
1.033763,24,0.38581
2.577235,24,0.398569
0.264611,24,0.405437
-1.648972,24,0.417637
1.098233,24,0.427645
1.731645,24,0.437641
-0.818683,24,0.446637
-0.436558,24,0.451554
1.49666,24,0.46678
-1.09929,24,0.477648
0.748093,24,0.491593
0.233905,24,0.497636
1.337738,24,0.515856
0.316011,24,0.52664
1.60045,24,0.534403
1.01047,24,0.541744
0.907587,24,0.547837
1.522789,24,0.558722
0.501252,24,0.573438
1.607472,24,0.57764
-0.928367,24,0.591287
0.481584,24,0.597635
1.561487,24,0.608282
1.886008,24,0.615871
0.539978,24,0.627637
-0.556077,24,0.637646
1.285597,24,0.646636
0.951294,24,0.647637
2.001726,24,0.66556
2.806213,24,0.675466
1.413285,24,0.687691
0.372336,24,0.697651
2.251575,24,0.708695
2.297706,24,0.724449
-0.880349,24,0.737657
-1.355826,24,0.747642
1.419064,24,0.757787
1.062174,24,0.774434
0.956705,24,0.782703
1.12608,24,0.796642
1.55784,24,0.808029
1.953499,24,0.815669
0.213526,24,0.830321
1.061205,24,0.852296
0.757467,24,0.876044
-0.045402,24,0.886649
1.719775,24,0.896497
1.415799,24,0.915728
-0.260366,24,0.939275
0.518353,24,0.947948
-0.640602,24,0.971499
1.169464,24,0.977724
0.792546,24,0.997638
-0.798864,24,0.997638
-1.027141,24,1.01567
-1.276568,24,1.027991
-0.903979,24,1.037635
-0.42999,24,1.047641
1.218079,24,1.058768
2.469117,24,1.066341
1.830543,24,1.085602
-1.138446,24,1.095648
0.723409,24,1.097659
0.745644,24,1.108253
1.244153,24,1.124081
-0.105084,24,1.132989
-0.451782,24,1.142212
1.241611,24,1.147657
-0.384207,24,1.167666
0.954671,24,1.177646
1.468335,24,1.18765
1.034405,24,1.197639
-0.215632,24,1.217266
-1.054027,24,1.22764
1.600195,24,1.235716
0.512444,24,1.241743
1.028736,24,1.277688
-0.550355,24,1.29184
-0.180612,24,1.297634
0.778514,24,1.309016
0.76987,24,1.31828
1.579797,24,1.327627
0.070898,24,1.339996
2.234334,24,1.347634
1.151269,24,1.357744
1.862756,24,1.368241
2.609393,24,1.382707
-2.266576,24,1.397654
0.09107,24,1.40933
-0.010862,24,1.417654
1.384534,24,1.427635
-0.65957,24,1.437651
-1.092231,24,1.447652
0.448485,24,1.459236
0.167061,24,1.475473
0.717775,24,1.483263
1.1648,24,1.497644
1.468162,24,1.497644
1.958754,24,1.508291
-2.314672,24,1.52549
-0.140544,24,1.537344
1.190437,24,1.54767
1.635132,24,1.557726
-0.307538,24,1.570814
0.75654,24,1.583234
-1.042746,24,1.592418
1.189997,24,1.597662
2.102294,24,1.607797
-0.251928,24,1.625487
1.572692,24,1.635316
-0.068005,24,1.644365
0.964222,24,1.655402
-0.706898,24,1.665974
1.142413,24,1.683296
0.50751,24,1.691888
2.173069,24,1.697641
-0.473926,24,1.708252
1.13635,24,1.727635
0.468064,24,1.737653
0.247718,24,1.747654
0.932023,24,1.757761
1.841247,24,1.771051
0.766321,24,1.785717
1.404931,24,1.803817
0.337532,24,1.826914
1.065745,24,1.847699
0.236862,24,1.866027
0.958992,24,1.877659
1.290474,24,1.89192
1.150376,24,1.905176
2.778333,24,1.908166
-0.212143,24,1.932729
-2.489329,24,1.95187
2.345033,24,1.959735
3.067401,24,1.980844
0.831063,24,1.991291
-0.971004,24,2.008647
-2.253584,24,2.017103
0.022723,24,2.027644
2.355471,24,2.037636
-0.273126,24,2.047659
0.362013,24,2.05879
-2.104438,24,2.073678
-0.238842,24,2.083197
1.313615,24,2.097639
2.027303,24,2.105659
0.365587,24,2.117644
