#{"t_start": 1763982886.642115, "env_id": "None"}
r,l,t
0.472167,24,0.080317
2.532588,24,0.126353
0.194985,24,0.16481
1.74591,24,0.240504
1.858788,24,0.282261
-0.130838,24,0.414488
-0.297714,24,0.452044
-0.946547,24,0.492288
-1.379889,24,0.532304
1.972551,24,0.572263
0.460865,24,0.671268
0.937107,24,0.701766
1.305337,24,0.752725
-0.004584,24,0.783297
-1.871702,24,0.82172
0.148958,24,0.874589
2.177684,24,1.015563
-0.021265,24,1.075584
1.187855,24,1.130267
-1.269531,24,1.181236
2.139379,24,1.221345
1.504501,24,1.321497
2.254181,24,1.352278
1.128107,24,1.392246
-0.156827,24,1.432379
-1.47723,24,1.472241
1.670488,24,1.594506
-0.547235,24,1.632704
0.720017,24,1.672981
2.034308,24,1.702275
0.385607,24,1.732288
-0.586858,24,1.782264
-0.905865,24,1.882321
1.143304,24,1.914395
-0.96205,24,1.952617
1.975993,24,1.982331
1.355189,24,2.01431
-0.291067,24,2.132281
0.899251,24,2.16554
2.639133,24,2.214473
-0.964182,24,2.255696
1.82036,24,2.302337
2.357345,24,2.421736
-0.92154,24,2.461794
1.114434,24,2.496357
0.868576,24,2.536686
0.762505,24,2.572246
1.68064,24,2.616468
0.461878,24,2.722301
-0.246301,24,2.753409
-0.353442,24,2.800424
3.176311,24,2.832269
-0.13258,24,2.874178
-1.327353,24,2.972273
-0.628112,24,3.011269
0.106266,24,3.047339
1.694441,24,3.082258
0.359065,24,3.113749
0.202157,24,3.214301
0.735948,24,3.251794
1.716641,24,3.282273
0.344783,24,3.321393
0.224219,24,3.362938
0.884268,24,3.392289
-0.351211,24,3.502326
0.804471,24,3.543034
1.965125,24,3.590531
1.507896,24,3.633989
0.041388,24,3.682288
1.39596,24,3.841402
0.826491,24,3.902292
0.524582,24,3.944404
-1.5867,24,3.983974
0.256482,24,4.021421
-0.364339,24,4.132293
1.272557,24,4.182276
-0.353397,24,4.222336
-0.681255,24,4.270403
-0.14846,24,4.303293
1.816086,24,4.342288
2.205067,24,4.450398
-0.469148,24,4.491462
