#{"t_start": 1763982078.5019639, "env_id": "None"}
r,l,t
-2.21908,24,0.046414
1.493635,24,0.060363
0.771372,24,0.068881
1.940289,24,0.080343
2.568815,24,0.088024
2.553892,24,0.098852
0.867036,24,0.110561
-0.855447,24,0.118843
-0.30356,24,0.133882
-0.827259,24,0.14467
1.433651,24,0.153986
2.477167,24,0.162438
1.85604,24,0.179972
-2.074331,24,0.189208
1.238652,24,0.199664
-1.611587,24,0.208871
-0.4952,24,0.218872
0.858786,24,0.22924
0.070067,24,0.237736
2.942546,24,0.246638
2.311115,24,0.261272
-0.474652,24,0.268841
2.47426,24,0.279096
-0.536604,24,0.287863
1.504213,24,0.299581
1.791246,24,0.308838
-0.349339,24,0.31997
0.806817,24,0.330716
1.025127,24,0.345437
0.788003,24,0.353965
0.831591,24,0.364321
0.42654,24,0.368816
2.730916,24,0.386198
0.819458,24,0.396593
-0.030868,24,0.405271
0.989547,24,0.417223
0.576884,24,0.428464
-0.584716,24,0.43957
1.238221,24,0.448829
-0.955786,24,0.460238
-1.597967,24,0.469344
0.208312,24,0.479617
0.707436,24,0.487806
1.009557,24,0.494561
0.506721,24,0.504065
-0.477897,24,0.511435
1.253767,24,0.518833
-0.354405,24,0.520885
-0.127642,24,0.534203
2.1927,24,0.538851
-1.00919,24,0.548846
2.906479,24,0.56039
1.150198,24,0.570944
1.11922,24,0.577933
-0.01178,24,0.587823
-0.488522,24,0.594581
2.158675,24,0.604288
1.20434,24,0.614432
0.862183,24,0.618889
-0.277342,24,0.629162
2.832351,24,0.647753
1.110077,24,0.658885
0.598407,24,0.67245
0.460423,24,0.689165
0.154029,24,0.70477
0.546611,24,0.720469
0.846217,24,0.736027
2.842174,24,0.750149
1.501244,24,0.762493
2.332314,24,0.780102
1.076814,24,0.788899
-1.350554,24,0.798855
1.856705,24,0.822381
1.76277,24,0.836867
1.669052,24,0.847862
1.092271,24,0.860259
0.919111,24,0.868888
0.576796,24,0.882489
-0.493165,24,0.896508
1.293515,24,0.907863
1.627402,24,0.918962
-0.113249,24,0.928975
1.09961,24,0.938885
-0.111203,24,0.957852
2.076015,24,0.9737
2.971878,24,0.988555
1.491257,24,0.99884
-0.145149,24,1.011229
0.255185,24,1.024602
-0.337635,24,1.037408
-0.476097,24,1.048877
0.605663,24,1.060832
1.588494,24,1.075802
0.899065,24,1.089536
0.568668,24,1.104423
0.833784,24,1.117912
0.151523,24,1.128929
-0.054848,24,1.138488
-0.235594,24,1.14889
2.262916,24,1.162445
-1.623429,24,1.168949
-0.506001,24,1.190327
0.657953,24,1.201677
-0.815518,24,1.212248
0.78875,24,1.235533
1.347816,24,1.246594
1.140396,24,1.256695
1.665508,24,1.268831
2.055956,24,1.282178
0.768023,24,1.295039
-1.09327,24,1.304247
-0.42822,24,1.317841
-0.235094,24,1.328864
-0.231739,24,1.338268
-2.236657,24,1.34784
0.57326,24,1.357036
1.109773,24,1.368873
0.479628,24,1.368873
2.094644,24,1.386611
1.077889,24,1.396597
-1.332672,24,1.40784
-1.327928,24,1.416744
3.420371,24,1.426587
2.512058,24,1.434396
-0.413697,24,1.448931
-2.309394,24,1.456642
2.400065,24,1.466972
1.221174,24,1.468843
0.306174,24,1.486934
0.672207,24,1.496499
1.382284,24,1.50786
0.482099,24,1.518856
-0.547264,24,1.530856
1.446478,24,1.541781
0.321294,24,1.553903
1.941349,24,1.567074
1.54205,24,1.57891
1.942366,24,1.593579
1.701407,24,1.607879
1.954155,24,1.618909
0.713308,24,1.635863
-0.23641,24,1.648894
0.26048,24,1.66122
1.291443,24,1.668909
1.576525,24,1.687138
1.317307,24,1.698906
0.02587,24,1.718874
1.564366,24,1.734665
2.555063,24,1.748881
1.88765,24,1.766685
1.183499,24,1.778905
1.980004,24,1.787029
-1.202601,24,1.798817
2.760732,24,1.813051
0.208858,24,1.822241
1.917442,24,1.828838
1.479352,24,1.843504
1.199569,24,1.848809
-1.310338,24,1.858822
0.845418,24,1.867419
-1.995992,24,1.876852
1.853788,24,1.878847
-0.928699,24,1.888869
1.724759,24,1.897823
-0.982941,24,1.908018
1.949669,24,1.911153
-0.132437,24,1.919387
2.130936,24,1.929879
0.059972,24,1.943509
0.054747,24,1.948858
1.157473,24,1.957965
0.960304,24,1.970241
1.827669,24,1.982424
0.382068,24,1.988808
0.248099,24,1.998857
-1.377918,24,2.003963
0.851267,24,2.016792
1.804987,24,2.024518
0.077658,24,2.033692
-0.140434,24,2.042405
1.201351,24,2.054144
1.693332,24,2.061068
2.727073,24,2.071099
1.251192,24,2.077841
-0.779301,24,2.088861
0.943963,24,2.09704
0.093815,24,2.105397
-1.722075,24,2.112144
0.215535,24,2.119853
0.724253,24,2.132163
-1.161871,24,2.13883
1.092244,24,2.147092
-0.573358,24,2.156829
1.571403,24,2.162169
0.377653,24,2.170441
-0.867807,24,2.177845
0.363147,24,2.188861
-0.3065,24,2.197467
1.129893,24,2.203876
-1.438771,24,2.212684
-0.315248,24,2.218848
1.66325,24,2.232587
1.036886,24,2.238853
1.148643,24,2.24783
1.63527,24,2.257848
1.928345,24,2.264333
-0.677174,24,2.273011
1.133893,24,2.278782
-1.062464,24,2.288821
1.49325,24,2.29709
1.488218,24,2.305548
-1.365862,24,2.312162
1.886494,24,2.318824
1.000647,24,2.333159
1.15408,24,2.337768
-0.121607,24,2.348542
0.106848,24,2.358967
1.399544,24,2.36709
-0.531886,24,2.369107
-0.066416,24,2.378872
-1.597961,24,2.388909
1.668506,24,2.404133
2.302062,24,2.412189
-0.287785,24,2.418832
0.313676,24,2.428857
-0.204104,24,2.437295
1.211852,24,2.445464
1.127318,24,2.44913
0.833396,24,2.466677
1.674617,24,2.467675
-1.379994,24,2.478938
1.032523,24,2.490643
-1.256488,24,2.497711
-0.953353,24,2.508842
2.512915,24,2.518886
0.781657,24,2.527867
1.44197,24,2.538887
0.349819,24,2.548874
0.731798,24,2.562513
0.053216,24,2.568881
0.162739,24,2.58884
-0.216882,24,2.604471
1.259057,24,2.616877
-0.587259,24,2.628904
0.152022,24,2.644541
-0.421395,24,2.658962
1.634556,24,2.668887
1.008476,24,2.685376
0.075048,24,2.698582
-0.057506,24,2.711176
-0.608295,24,2.71891
-0.587258,24,2.735135
0.668811,24,2.748875
0.372908,24,2.765181
-0.619103,24,2.768906
-0.261346,24,2.78891
0.479774,24,2.80396
1.665576,24,2.816662
0.911758,24,2.827919
-0.510846,24,2.838931
-2.123418,24,2.857059
-0.355813,24,2.868915
-0.197009,24,2.878568
-0.617859,24,2.886615
2.678716,24,2.907887
2.026646,24,2.922359
0.322942,24,2.938885
1.979757,24,2.948976
0.938303,24,2.966724
0.482087,24,2.977863
-1.039148,24,2.988645
0.482735,24,3.004673
2.679589,24,3.020901
-0.000643,24,3.028914
2.283962,24,3.046535
0.893614,24,3.059036
0.911455,24,3.068875
1.282236,24,3.086951
1.012945,24,3.098882
1.662529,24,3.112113
0.019581,24,3.126922
2.089002,24,3.138884
-0.09007,24,3.148939
0.439115,24,3.161224
1.832086,24,3.180991
-0.540093,24,3.191693
-0.358427,24,3.204265
-0.073677,24,3.216951
1.823487,24,3.227985
0.813138,24,3.247653
1.496878,24,3.258906
2.61327,24,3.268926
0.447009,24,3.278991
2.233843,24,3.302108
-0.450035,24,3.312113
0.4434,24,3.327377
1.632786,24,3.338904
2.401644,24,3.35913
0.063519,24,3.36886
1.538534,24,3.379447
2.494999,24,3.400774
-0.968053,24,3.410088
2.106902,24,3.418833
-0.374496,24,3.418833
0.834582,24,3.437049
1.668905,24,3.447709
-0.610035,24,3.45426
0.949695,24,3.468829
-0.370138,24,3.479271
0.536445,24,3.487835
-1.246785,24,3.497921
1.207645,24,3.508825
2.498894,24,3.518828
1.113943,24,3.528895
-1.782452,24,3.53494
0.192744,24,3.545871
0.618635,24,3.558826
-0.949208,24,3.566605
-0.119874,24,3.568826
0.651111,24,3.586852
2.063853,24,3.59889
0.171028,24,3.611562
2.220983,24,3.618832
-0.500512,24,3.628401
-0.699322,24,3.63883
1.087397,24,3.648826
0.492947,24,3.658837
0.32344,24,3.667828
-0.015034,24,3.679231
1.502801,24,3.694845
-1.142999,24,3.698814
2.027403,24,3.710596
0.578306,24,3.719873
-1.151146,24,3.734752
-0.285403,24,3.744894
-0.126658,24,3.758832
2.132885,24,3.768895
0.152426,24,3.782308
0.782996,24,3.797301
1.664667,24,3.808833
-0.914614,24,3.823538
0.846201,24,3.834961
0.640319,24,3.843838
-0.937136,24,3.848827
0.728145,24,3.861551
0.954989,24,3.868829
-0.935371,24,3.879106
0.78131,24,3.887928
1.5911,24,3.89883
-0.948835,24,3.907825
2.585155,24,3.91783
1.183181,24,3.927229
2.299216,24,3.94175
-1.25413,24,3.954402
2.768735,24,3.961998
1.599357,24,3.97922
1.654532,24,3.988826
0.575779,24,3.998561
1.76127,24,4.008837
0.19645,24,4.018826
1.0849,24,4.028967
1.738314,24,4.039633
-1.770401,24,4.047942
1.708133,24,4.063288
0.22101,24,4.067971
1.41265,24,4.082694
0.185926,24,4.094886
-0.72618,24,4.104437
0.571101,24,4.118827
-0.857495,24,4.128885
0.940224,24,4.134432
-0.349963,24,4.14533
-0.146959,24,4.156811
1.510992,24,4.16888
0.859889,24,4.176971
0.397325,24,4.178967
-0.303457,24,4.197819
2.808948,24,4.203999
0.358803,24,4.211063
0.57588,24,4.218879
0.826587,24,4.238827
2.325827,24,4.247999
-0.298421,24,4.260668
-0.848551,24,4.277011
-0.91021,24,4.286633
-0.524736,24,4.298846
0.363318,24,4.311997
0.783662,24,4.348809
2.20074,24,4.366761
1.178916,24,4.379537
2.158487,24,4.388823
2.146496,24,4.398857
-0.534559,24,4.408856
-0.006752,24,4.412683
1.327097,24,4.418875
1.434448,24,4.42907
2.04878,24,4.436638
1.577943,24,4.443374
1.986216,24,4.449988
3.107929,24,4.458644
-0.186268,24,4.468922
1.31093,24,4.468922
1.331002,24,4.478863
-0.628788,24,4.4906
1.230137,24,4.497935
-0.179396,24,4.51352
1.48852,24,4.519393
2.722353,24,4.528877
-0.284678,24,4.544423
0.583334,24,4.557738
-0.30344,24,4.56891
1.964682,24,4.58042
0.079792,24,4.599931
0.082028,24,4.611205
-1.604604,24,4.617947
1.620701,24,4.634954
1.500153,24,4.648913
1.988701,24,4.666762
-0.833408,24,4.678938
0.880024,24,4.691795
-0.381452,24,4.706606
-0.017399,24,4.71888
1.897628,24,4.728843
0.883175,24,4.746336
0.392823,24,4.761112
-2.061895,24,4.78494
0.750803,24,4.814516
0.443248,24,4.829183
1.173335,24,4.845184
1.00815,24,4.857714
1.907367,24,4.868917
-1.129904,24,4.88226
2.9599,24,4.898991
0.337171,24,4.910931
-0.676853,24,4.918893
-1.295276,24,4.935261
3.363842,24,4.948883
1.049667,24,4.963545
1.074953,24,4.968909
-0.170453,24,4.991304
-0.955449,24,5.010014
1.306179,24,5.018909
1.447659,24,5.028959
0.932853,24,5.047687
1.427286,24,5.061231
1.051118,24,5.068883
1.761402,24,5.08786
0.257157,24,5.098951
-0.491447,24,5.118932
-1.386808,24,5.133705
1.618214,24,5.145456
1.500678,24,5.158864
-1.082396,24,5.168908
-1.615455,24,5.179021
1.805518,24,5.196806
1.766594,24,5.208908
1.381607,24,5.218911
0.949345,24,5.235965
0.353431,24,5.248881
1.28778,24,5.261093
-0.126311,24,5.27801
1.820447,24,5.288927
1.814544,24,5.298882
-0.032993,24,5.311102
-1.049054,24,5.328921
0.866326,24,5.338907
0.652054,24,5.354478
1.768747,24,5.367876
2.186957,24,5.378943
-0.083316,24,5.397908
0.967261,24,5.410081
-1.259856,24,5.421718
1.619639,24,5.438926
1.198792,24,5.450073
1.271715,24,5.461006
3.345269,24,5.471853
0.738641,24,5.488901
1.400538,24,5.498885
2.107618,24,5.510994
0.022201,24,5.528882
1.444192,24,5.547878
1.200066,24,5.560008
0.34248,24,5.56889
0.934801,24,5.582862
0.596768,24,5.597887
1.224841,24,5.610086
1.138001,24,5.618882
1.947355,24,5.636495
-0.587387,24,5.648912
0.843184,24,5.66112
-0.769378,24,5.676762
-0.615681,24,5.689325
2.079313,24,5.703959
0.806236,24,5.716859
0.171037,24,5.728892
1.095267,24,5.741261
0.338711,24,5.757123
2.160034,24,5.768914
2.123598,24,5.778984
1.319097,24,5.798853
0.641527,24,5.811061
1.031331,24,5.821822
1.725679,24,5.838861
1.149637,24,5.856822
1.277792,24,5.872851
0.08405,24,5.889144
0.019646,24,5.904305
-0.687192,24,5.911386
0.769806,24,5.925064
0.256459,24,5.934216
1.567835,24,5.946758
0.91828,24,5.982994
2.213622,24,6.003839
1.034266,24,6.01887
1.330187,24,6.059059
0.359118,24,6.079319
-0.929823,24,6.099473
-1.757467,24,6.118855
-1.303497,24,6.140935
0.541897,24,6.163033
-1.035611,24,6.187111
0.014325,24,6.200825
-0.250622,24,6.219394
1.595106,24,6.231528
2.710296,24,6.251943
0.704431,24,6.2632
0.508604,24,6.273473
1.830153,24,6.306795
0.956928,24,6.328873
-1.492469,24,6.333889
0.305675,24,6.341049
-0.795354,24,6.346932
0.507749,24,6.359958
0.85106,24,6.36701
-0.745223,24,6.368796
1.560906,24,6.378672
-0.713428,24,6.39412
0.696994,24,6.398923
1.099273,24,6.40889
1.849181,24,6.41091
1.346428,24,6.427797
0.012454,24,6.428822
1.219006,24,6.445296
2.04776,24,6.456717
-1.807687,24,6.468878
0.882234,24,6.478992
1.399083,24,6.495389
0.861738,24,6.509038
-0.362588,24,6.518884
2.067204,24,6.538065
-0.867735,24,6.548911
1.900313,24,6.561653
-0.138011,24,6.56891
1.48567,24,6.587098
0.257538,24,6.598907
1.616141,24,6.616884
0.513788,24,6.628979
1.073265,24,6.647892
1.558606,24,6.662517
-0.209836,24,6.668914
1.18333,24,6.688963
-1.280368,24,6.69888
-0.950429,24,6.718886
-1.20898,24,6.729755
1.74019,24,6.744412
1.524535,24,6.754444
-1.476927,24,6.767879
1.569411,24,6.779724
2.007128,24,6.794363
-0.403776,24,6.803997
0.092774,24,6.818914
-0.203423,24,6.828975
0.950989,24,6.845377
0.242992,24,6.856708
-1.923242,24,6.868876
1.767962,24,6.878881
2.05734,24,6.888894
1.918003,24,6.897919
-0.663212,24,6.91243
-0.155243,24,6.923657
0.902099,24,6.936975
-0.705295,24,6.946964
-0.721754,24,6.954587
1.039845,24,6.966593
-1.443848,24,6.978935
1.723859,24,6.987864
-0.109656,24,6.997908
3.014507,24,7.008852
-1.710136,24,7.018849
-0.410668,24,7.028847
0.638192,24,7.039208
1.190712,24,7.05163
-1.0271,24,7.063261
-1.041509,24,7.068886
-1.233021,24,7.07899
0.070335,24,7.091769
1.455362,24,7.106702
-0.872458,24,7.117312
0.861752,24,7.128958
0.953585,24,7.146989
-0.093523,24,7.16099
1.73057,24,7.168873
1.70239,24,7.178976
-1.071073,24,7.194378
0.721783,24,7.209991
2.753044,24,7.220922
0.132264,24,7.230219
-0.927853,24,7.247961
2.28598,24,7.263379
-1.274132,24,7.268901
2.348084,24,7.278857
0.893181,24,7.296956
-0.011423,24,7.310991
0.217789,24,7.325455
-0.678259,24,7.328656
0.114355,24,7.34694
-0.917325,24,7.360982
0.561823,24,7.368901
-0.29361,24,7.378875
2.848692,24,7.388881
0.098945,24,7.398859
-1.080967,24,7.407836
-0.342286,24,7.410924
1.87114,24,7.421269
1.4233,24,7.436697
-0.81708,24,7.445276
1.755685,24,7.454439
0.251285,24,7.46701
-0.717375,24,7.479648
-0.44664,24,7.48689
1.245164,24,7.498884
0.599733,24,7.507862
1.307173,24,7.518862
1.388074,24,7.531203
-0.320715,24,7.539083
1.500148,24,7.548875
-1.135884,24,7.563733
0.100756,24,7.568857
3.558847,24,7.587027
1.924026,24,7.597849
0.74234,24,7.611073
1.01192,24,7.626677
1.470511,24,7.641269
0.711897,24,7.655698
0.549619,24,7.668907
1.740594,24,7.678254
-1.139603,24,7.693307
3.008746,24,7.703972
1.036333,24,7.718911
-0.047448,24,7.729711
0.906522,24,7.748881
1.845699,24,7.763702
-0.463911,24,7.779053
-0.580132,24,7.788977
0.865972,24,7.79891
0.646663,24,7.810955
-0.981455,24,7.828869
0.769279,24,7.836924
-0.654735,24,7.854486
2.178475,24,7.867883
-0.581413,24,7.880666
0.895081,24,7.8933
1.349116,24,7.90452
-1.210351,24,7.916637
0.006403,24,7.930588
-0.23477,24,7.947899
-0.653389,24,7.962454
