#{"t_start": 1763982035.9845078, "env_id": "None"}
r,l,t
2.418593,24,0.037135
-0.546552,24,0.048243
1.636836,24,0.06937
0.58501,24,0.08524
-0.047042,24,0.09721
-0.871045,24,0.10622
-2.594177,24,0.116871
0.05832,24,0.12522
0.599432,24,0.135223
1.704824,24,0.144309
-0.862588,24,0.156242
0.576057,24,0.166245
0.711942,24,0.181121
1.27612,24,0.18415
2.269755,24,0.198225
0.012769,24,0.206223
1.28252,24,0.226721
-1.420608,24,0.236295
2.276271,24,0.247312
2.624302,24,0.263887
0.983027,24,0.275548
0.901421,24,0.286245
1.135849,24,0.297795
1.552999,24,0.306288
0.714331,24,0.317342
1.294077,24,0.326211
-1.272178,24,0.336217
0.513535,24,0.336217
0.86415,24,0.347741
1.093904,24,0.354307
1.952372,24,0.372927
3.584674,24,0.380601
-2.06833,24,0.387651
2.533592,24,0.397741
1.933205,24,0.405249
-1.368828,24,0.406248
1.449403,24,0.41691
1.05274,24,0.426226
-0.564384,24,0.436225
-1.202206,24,0.436225
-1.561994,24,0.449712
0.186411,24,0.45628
0.564828,24,0.466224
-0.085919,24,0.474348
2.296369,24,0.486213
1.348156,24,0.486213
1.586276,24,0.499866
1.258339,24,0.50623
-0.684948,24,0.519946
1.036979,24,0.526226
0.494955,24,0.534138
-1.023826,24,0.536214
-1.302057,24,0.548185
1.812669,24,0.556324
0.597705,24,0.56622
-0.58105,24,0.575213
2.155248,24,0.585429
0.374852,24,0.585429
1.012594,24,0.597713
-1.63126,24,0.605396
0.123175,24,0.625426
-0.213127,24,0.635222
1.368807,24,0.641435
0.091964,24,0.647655
1.253123,24,0.655812
2.683448,24,0.666221
2.331644,24,0.671742
1.454216,24,0.676211
0.790444,24,0.698215
0.345863,24,0.706276
-1.522696,24,0.724005
0.508693,24,0.734387
-0.677591,24,0.747808
0.414831,24,0.756289
0.175909,24,0.766911
-0.175143,24,0.774074
0.596512,24,0.780598
2.037309,24,0.786223
-0.5501,24,0.796721
2.209542,24,0.804414
2.022394,24,0.81646
-2.206388,24,0.826244
2.115255,24,0.836233
0.897051,24,0.847243
2.805099,24,0.856256
0.752601,24,0.866433
0.464268,24,0.873984
0.035185,24,0.884209
0.935087,24,0.898801
2.816417,24,0.906273
1.416317,24,0.916226
-2.168363,24,0.925264
1.089713,24,0.936225
-0.110498,24,0.936225
0.708771,24,0.947255
1.14646,24,0.958154
2.00703,24,0.966223
1.258476,24,0.98043
2.909767,24,0.993118
-0.113926,24,1.004198
-1.688456,24,1.016255
