#{"t_start": 1763981997.641537, "env_id": "None"}
r,l,t
2.008744,24,0.053995
0.30613,24,0.069193
-1.134385,24,0.078183
-0.476426,24,0.07918
1.98599,24,0.099253
0.706547,24,0.11468
1.219748,24,0.135458
0.918137,24,0.150538
1.507106,24,0.159217
-0.871314,24,0.178035
-0.749687,24,0.191633
1.092238,24,0.212729
1.671098,24,0.219181
0.218596,24,0.228348
0.681599,24,0.236356
0.092003,24,0.248843
1.146502,24,0.258666
2.006285,24,0.264217
1.582251,24,0.278283
2.11912,24,0.278283
0.135754,24,0.292974
-0.165257,24,0.30036
2.228268,24,0.311266
0.963136,24,0.317839
1.148361,24,0.328296
0.416319,24,0.338179
-1.525612,24,0.349253
0.812228,24,0.365863
-0.658216,24,0.378279
2.492255,24,0.387089
2.565994,24,0.39918
1.837042,24,0.39918
1.418249,24,0.41428
0.210233,24,0.427998
-0.283772,24,0.461762
1.157747,24,0.478248
2.550883,24,0.497236
2.29248,24,0.509874
1.950824,24,0.542475
1.969406,24,0.551189
1.035215,24,0.568353
1.69084,24,0.578834
2.184471,24,0.587389
-1.216965,24,0.609667
-0.423892,24,0.624597
-0.735062,24,0.633141
0.947329,24,0.651566
3.594827,24,0.666498
1.193442,24,0.683188
1.013094,24,0.693184
-0.062057,24,0.720243
-0.454905,24,0.737382
3.462897,24,0.750609
-0.961425,24,0.764524
-1.313846,24,0.787262
2.380325,24,0.802259
1.037437,24,0.814129
0.728998,24,0.828185
0.821464,24,0.864592
-0.912085,24,0.877045
-1.316046,24,0.892418
-0.668264,24,0.903802
1.391655,24,0.928206
2.692509,24,0.944054
-0.739655,24,0.957244
1.228252,24,0.974452
1.800076,24,0.989197
0.530343,24,0.998424
-0.200907,24,1.009217
-0.637388,24,1.01857
1.321437,24,1.026311
-1.249922,24,1.029331
0.148756,24,1.04192
1.012532,24,1.050223
1.412709,24,1.058567
-0.010132,24,1.064586
1.822173,24,1.075221
1.099437,24,1.07823
0.882244,24,1.092822
2.283068,24,1.099146
-1.299121,24,1.109645
-1.01014,24,1.118163
1.510762,24,1.126249
2.335174,24,1.129247
-1.302479,24,1.142975
0.887101,24,1.149161
0.457597,24,1.149161
2.040079,24,1.164544
0.023991,24,1.174929
0.108637,24,1.179164
-0.552262,24,1.189587
2.923558,24,1.197347
0.858833,24,1.207278
1.116517,24,1.214592
1.761416,24,1.219206
2.711207,24,1.229178
-0.184494,24,1.240325
1.076782,24,1.248168
-1.512496,24,1.255228
1.402808,24,1.259239
0.140306,24,1.268345
0.361969,24,1.278296
1.831437,24,1.286306
2.21016,24,1.292892
2.15754,24,1.309154
0.811653,24,1.315217
1.455454,24,1.321113
0.415759,24,1.329173
-1.386255,24,1.340998
-0.869889,24,1.349322
2.628501,24,1.357543
-0.409853,24,1.365095
-0.34354,24,1.374444
0.162667,24,1.379316
2.254768,24,1.390944
-0.618088,24,1.403266
0.145475,24,1.409113
0.358307,24,1.419348
1.718539,24,1.42737
0.013491,24,1.429162
0.697939,24,1.442868
1.903124,24,1.449168
-0.619896,24,1.457555
2.326556,24,1.468162
0.773656,24,1.479167
1.863495,24,1.492051
2.272104,24,1.50121
-0.23936,24,1.510286
0.356433,24,1.519171
2.583168,24,1.52829
-0.252707,24,1.52829
-0.270647,24,1.542886
0.664406,24,1.549172
-0.273494,24,1.560552
1.628358,24,1.570315
1.368666,24,1.578283
-0.302902,24,1.586922
0.434015,24,1.592886
0.245753,24,1.599158
0.347776,24,1.607671
0.210207,24,1.617102
2.414466,24,1.624303
0.902298,24,1.630167
-0.429332,24,1.642884
-0.680419,24,1.649204
-1.335896,24,1.659302
-1.202422,24,1.66917
1.290008,24,1.676394
1.394657,24,1.680935
-1.163965,24,1.694186
0.944535,24,1.703286
1.180504,24,1.709575
0.696597,24,1.719234
-0.685048,24,1.7294
1.62241,24,1.739153
1.493305,24,1.748068
0.117487,24,1.75953
1.529899,24,1.775274
1.637884,24,1.779283
-0.969657,24,1.788437
-1.405544,24,1.798175
1.034963,24,1.803206
1.303992,24,1.814617
0.675546,24,1.819168
0.599152,24,1.828266
0.738634,24,1.841988
0.588792,24,1.84819
0.731804,24,1.849187
2.339586,24,1.8646
0.313877,24,1.869343
1.186181,24,1.87928
-0.186244,24,1.89194
0.303056,24,1.907097
0.505479,24,1.914577
-1.179958,24,1.919303
1.268873,24,1.932969
-1.795362,24,1.952931
0.940037,24,1.96699
0.253033,24,1.979871
0.175793,24,1.99522
1.163204,24,2.009254
-0.315886,24,2.024259
-0.056971,24,2.041898
0.388761,24,2.049188
-0.216381,24,2.061269
-0.031902,24,2.070179
0.059893,24,2.078112
0.931585,24,2.089182
-1.801679,24,2.0992
