#{"t_start": 1763983165.3969133, "env_id": "None"}
r,l,t
0.669814,24,0.109266
-1.05204,24,0.169936
0.577241,24,0.2747
1.335351,24,0.359004
-0.068979,24,0.431754
1.456161,24,0.62272
1.477736,24,0.702762
2.318609,24,0.790112
-0.951814,24,0.867951
-0.904791,24,0.941953
1.491295,24,1.135854
1.697926,24,1.200802
-0.557242,24,1.282537
1.065031,24,1.363161
0.139387,24,1.447721
0.081924,24,1.51561
0.394772,24,1.715342
1.109848,24,1.800905
1.088688,24,1.871288
0.683904,24,1.949997
-0.8396,24,2.020056
2.2305,24,2.239161
0.243764,24,2.319094
0.991176,24,2.396177
-1.023694,24,2.484392
0.750859,24,2.568997
2.319007,24,2.788152
1.470792,24,2.866156
0.681723,24,2.937842
1.334349,24,3.020051
2.062737,24,3.089921
-0.22717,24,3.165508
1.503535,24,3.349033
1.357262,24,3.42306
1.080348,24,3.496032
-1.542897,24,3.568957
0.831286,24,3.647936
0.602458,24,3.849937
1.062397,24,3.919935
0.372875,24,3.989968
1.480769,24,4.049979
-1.154268,24,4.131266
-0.505677,24,4.321901
1.25094,24,4.397503
-0.526796,24,4.469987
0.174876,24,4.551054
0.748949,24,4.631897
0.487134,24,4.708048
1.317741,24,4.914559
0.111003,24,4.982205
0.916807,24,5.060103
-0.986487,24,5.132108
1.941739,24,5.199939
-0.198615,24,5.389966
0.817758,24,5.46749
0.593622,24,5.539943
1.650003,24,5.617022
1.192984,24,5.687917
1.75599,24,5.882178
-0.03028,24,5.948979
0.325311,24,6.032499
1.831965,24,6.114585
0.028136,24,6.200829
-1.266042,24,6.270132
0.765329,24,6.469966
0.711829,24,6.547264
0.719603,24,6.623491
-0.289276,24,6.700001
1.473067,24,6.791972
0.580713,24,6.999087
-0.515375,24,7.062607
-1.289993,24,7.120044
1.255222,24,7.189946
2.202818,24,7.263251
2.068018,24,7.467755
1.988155,24,7.532364
1.059433,24,7.614543
1.13955,24,7.688976
1.030728,24,7.757628
0.233826,24,7.839982
0.334895,24,8.047904
0.12882,24,8.120066
0.281761,24,8.199
0.315997,24,8.282493
1.269951,24,8.359009
1.743064,24,8.573409
1.950087,24,8.646398
0.451872,24,8.718925
2.080259,24,8.782875
0.138942,24,8.86447
0.096989,24,9.049916
0.944504,24,9.12093
1.527795,24,9.193392
-1.117722,24,9.262479
1.789494,24,9.339921
2.362111,24,9.419988
-0.884177,24,9.615682
0.692958,24,9.688951
-3.658163,24,9.75325
1.233373,24,9.819949
-0.558467,24,9.900169
-0.747826,24,10.112322
1.635232,24,10.181829
0.304492,24,10.264575
-0.219341,24,10.32994
0.793866,24,10.400036
1.079464,24,10.597144
2.123098,24,10.669921
-0.444891,24,10.750145
0.671971,24,10.829963
1.36952,24,10.913585
1.688283,24,11.000054
0.806422,24,11.219952
1.436366,24,11.289964
1.186019,24,11.370322
0.116349,24,11.45088
-0.626533,24,11.531186
0.78682,24,11.745666
1.978576,24,11.819928
1.939136,24,11.900114
0.413042,24,11.97042
0.499846,24,12.032478
1.929131,24,12.214787
0.956679,24,12.28999
-0.232296,24,12.360083
0.418142,24,12.430166
-2.594714,24,12.500044
-0.448146,24,12.572953
-1.449756,24,12.789097
-0.876706,24,12.863618
1.348557,24,12.935583
0.627616,24,13.008939
-0.099798,24,13.089953
2.125598,24,13.311356
-2.035873,24,13.381648
0.617066,24,13.459052
0.656092,24,13.5427
0.880309,24,13.617061
0.594324,24,13.829949
-0.409594,24,13.90048
1.108741,24,13.965482
0.877539,24,14.049406
-0.21546,24,14.120986
0.266742,24,14.199332
-1.103894,24,14.400702
2.096093,24,14.472639
3.00563,24,14.558146
2.92178,24,14.630043
1.514893,24,14.699952
-1.038796,24,14.908971
1.066398,24,14.970358
1.605996,24,15.052298
1.110436,24,15.130123
1.107715,24,15.209981
-0.236909,24,15.408991
2.716909,24,15.487916
-0.81809,24,15.56454
1.902636,24,15.647601
1.11997,24,15.73213
-0.597411,24,15.820278
0.328234,24,16.069989
0.152419,24,16.152979
1.886374,24,16.231913
1.477771,24,16.299999
-1.245866,24,16.375958
-1.321002,24,16.57032
-0.709927,24,16.648455
0.704453,24,16.716503
0.792173,24,16.789123
-1.409979,24,16.862012
1.168372,24,17.065539
1.466721,24,17.138971
1.553688,24,17.215146
1.130754,24,17.281837
-1.162336,24,17.354744
1.032408,24,17.431038
-0.550778,24,17.644444
1.416104,24,17.719183
0.117638,24,17.799956
1.008611,24,17.869978
-0.421436,24,17.949411
2.950939,24,18.150446
1.355088,24,18.239989
-0.182145,24,18.320733
1.11501,24,18.400416
1.223301,24,18.469037
-0.058687,24,18.670026
0.287049,24,18.745518
0.528214,24,18.818306
0.206178,24,18.898447
0.321526,24,18.977851
1.024363,24,19.050578
0.622666,24,19.249939
1.564324,24,19.329865
-1.090976,24,19.411961
-0.657685,24,19.481946
0.950124,24,19.568955
1.886212,24,19.767833
1.146815,24,19.857981
-0.735515,24,19.920499
1.824894,24,20.000281
0.925374,24,20.090969
0.314879,24,20.28188
1.714888,24,20.349419
-1.71126,24,20.419919
-0.515308,24,20.508833
0.004676,24,20.579818
0.729262,24,20.663436
1.152731,24,20.857671
-0.418762,24,20.922578
2.787303,24,20.999934
1.921752,24,21.109565
1.37263,24,21.189955
-0.350554,24,21.381728
-0.61058,24,21.459484
