#{"t_start": 1763982104.4850585, "env_id": "None"}
r,l,t
0.634114,24,0.043752
0.648325,24,0.053539
1.068522,24,0.065835
0.714741,24,0.079224
-0.4612,24,0.104793
2.012769,24,0.121162
-0.568852,24,0.136686
0.663747,24,0.145912
0.554874,24,0.173399
-0.333596,24,0.185786
-1.372791,24,0.19486
-0.88724,24,0.215835
2.440948,24,0.230363
1.373433,24,0.245888
1.226377,24,0.259404
0.072801,24,0.270958
0.05324,24,0.284961
2.662952,24,0.296008
1.438455,24,0.314996
0.136284,24,0.326967
-0.273843,24,0.343599
0.100672,24,0.360348
0.561051,24,0.372113
-1.029575,24,0.387101
-1.04294,24,0.395806
-1.593001,24,0.417965
1.82959,24,0.427979
1.835635,24,0.434767
-0.971706,24,0.445791
0.657611,24,0.455023
1.14621,24,0.46749
1.477646,24,0.476992
1.119026,24,0.484844
1.594313,24,0.504801
2.525895,24,0.515779
-0.046893,24,0.529393
0.473441,24,0.543628
1.02875,24,0.554117
1.427066,24,0.565815
-0.797776,24,0.5769
-0.66802,24,0.593655
-1.490385,24,0.604785
0.731799,24,0.615791
-0.024107,24,0.625783
-2.102718,24,0.635779
0.29621,24,0.651172
1.465627,24,0.663588
-0.493451,24,0.673606
1.806501,24,0.685877
-1.381104,24,0.69585
-0.839873,24,0.70939
-0.983149,24,0.720897
2.435734,24,0.737157
-1.604541,24,0.755798
-1.614855,24,0.77149
2.263297,24,0.785998
1.744715,24,0.803852
-1.49833,24,0.815801
1.519232,24,0.827011
-0.738553,24,0.842992
-0.824379,24,0.861707
2.207855,24,0.877355
1.231488,24,0.885808
-0.986365,24,0.895876
-0.460193,24,0.915854
0.012735,24,0.928121
2.012708,24,0.935813
0.662297,24,0.959633
0.304122,24,0.971014
-0.749068,24,0.977164
0.284789,24,0.992618
1.030132,24,0.995772
1.105076,24,1.013872
0.59471,24,1.021957
2.068682,24,1.033793
1.171398,24,1.042637
1.174493,24,1.054779
1.524797,24,1.065811
0.139023,24,1.077027
1.593567,24,1.085758
1.617595,24,1.105834
-0.125183,24,1.115805
1.543803,24,1.133547
-0.974396,24,1.145802
1.148158,24,1.16051
2.429892,24,1.170882
1.086437,24,1.185803
0.811881,24,1.197868
-0.634619,24,1.213455
-1.321626,24,1.224798
1.494189,24,1.239145
-0.666163,24,1.245831
-0.262897,24,1.265831
-0.886115,24,1.278029
-0.368086,24,1.290474
2.554207,24,1.305835
-1.068914,24,1.320898
-0.972596,24,1.327956
-1.670177,24,1.347039
1.172914,24,1.361231
1.35378,24,1.377033
-0.456934,24,1.385815
-0.038465,24,1.40751
1.265536,24,1.415804
1.649638,24,1.435906
1.486158,24,1.452552
-0.004276,24,1.465801
1.72608,24,1.47699
-1.079615,24,1.48584
0.16043,24,1.504061
-1.105149,24,1.515803
