#{"t_start": 1763982183.602829, "env_id": "None"}
r,l,t
1.755104,24,0.035834
0.0746,24,0.049862
-0.257722,24,0.058697
2.390527,24,0.068822
1.635643,24,0.077099
-1.068179,24,0.089242
0.093348,24,0.098087
1.280058,24,0.108269
1.897905,24,0.121277
-1.226242,24,0.131298
1.185802,24,0.139236
-0.46342,24,0.150462
-0.935981,24,0.158121
-1.758355,24,0.177118
-0.638605,24,0.189668
-0.013066,24,0.198043
0.8381,24,0.207827
0.251984,24,0.223315
0.242281,24,0.228883
1.028264,24,0.240278
1.10727,24,0.257216
0.568294,24,0.267074
1.264847,24,0.277092
2.084302,24,0.288942
0.614475,24,0.303745
0.67709,24,0.31617
-0.763146,24,0.328094
1.338165,24,0.338871
0.69748,24,0.356861
0.456083,24,0.368083
2.198469,24,0.378128
-1.813642,24,0.393003
-0.212444,24,0.408088
1.870815,24,0.418076
-0.988412,24,0.429754
1.181776,24,0.44709
0.497213,24,0.46343
-1.583747,24,0.47709
0.323728,24,0.489939
-0.540737,24,0.498117
0.181561,24,0.508181
0.168905,24,0.528091
1.10859,24,0.53959
1.659568,24,0.558192
1.712649,24,0.588762
0.633211,24,0.608091
1.122993,24,0.631508
1.054376,24,0.661952
0.78762,24,0.688222
0.877391,24,0.696913
1.580762,24,0.708142
-1.57764,24,0.722821
1.089126,24,0.728125
0.054132,24,0.740796
1.037087,24,0.753827
1.619039,24,0.7583
1.193914,24,0.775845
0.880942,24,0.786431
1.513139,24,0.789885
-1.626387,24,0.803766
0.706602,24,0.816343
0.321585,24,0.828048
-0.828889,24,0.838886
1.237973,24,0.848333
0.965905,24,0.858094
0.695359,24,0.871806
-1.216133,24,0.880052
1.013146,24,0.889826
0.468327,24,0.908161
-0.045343,24,0.919189
2.07681,24,0.928084
1.325755,24,0.939931
1.189757,24,0.971198
-0.650337,24,1.007237
0.431368,24,1.023445
1.030172,24,1.02809
1.553174,24,1.056683
0.11682,24,1.068918
-0.551412,24,1.07813
0.956072,24,1.098188
1.033945,24,1.108089
0.125443,24,1.126193
-0.775206,24,1.140099
-0.820941,24,1.157082
2.296176,24,1.172267
-0.455187,24,1.178065
2.838055,24,1.199454
2.609698,24,1.217275
0.457591,24,1.228365
1.250443,24,1.253085
-0.770026,24,1.267202
1.373384,24,1.277989
-0.56679,24,1.289289
-0.52779,24,1.308218
1.461567,24,1.322313
1.838902,24,1.330907
0.949119,24,1.347054
1.773733,24,1.362985
1.542385,24,1.372274
2.088041,24,1.386619
0.017224,24,1.398081
0.997536,24,1.408091
2.425304,24,1.428177
-0.454711,24,1.440808
-0.309696,24,1.455517
0.159083,24,1.468092
1.413929,24,1.478981
-0.296529,24,1.489738
1.407465,24,1.508088
0.904716,24,1.522772
0.262369,24,1.539495
0.390665,24,1.551125
0.906461,24,1.567106
