#{"t_start": 1763982017.415599, "env_id": "None"}
r,l,t
0.041734,24,0.027446
2.192136,24,0.045143
1.826079,24,0.05518
0.829761,24,0.07969
1.06871,24,0.093042
-1.563562,24,0.105144
1.058382,24,0.115348
0.813562,24,0.125038
-0.213596,24,0.134252
-0.198462,24,0.145137
-1.42983,24,0.155118
0.614999,24,0.155118
2.352086,24,0.185595
1.156437,24,0.20138
0.162665,24,0.217043
0.152647,24,0.228402
0.161982,24,0.240936
0.330596,24,0.255128
0.037607,24,0.255128
1.52078,24,0.267986
0.599748,24,0.283256
1.346331,24,0.293334
1.182252,24,0.303349
-1.494143,24,0.305124
-0.581836,24,0.325663
-1.008739,24,0.334234
1.995327,24,0.345129
0.501528,24,0.353079
2.702156,24,0.367074
1.296285,24,0.374237
0.465342,24,0.375125
1.290239,24,0.390738
2.217209,24,0.402924
-1.697262,24,0.415971
0.420069,24,0.426521
3.290276,24,0.441818
2.109346,24,0.45512
0.914278,24,0.465243
1.928105,24,0.473157
-0.772187,24,0.478124
1.721266,24,0.491305
0.309974,24,0.502997
-0.525905,24,0.505115
-1.273402,24,0.516987
-0.005606,24,0.526645
1.516578,24,0.535225
0.626394,24,0.545108
1.068229,24,0.553227
0.620447,24,0.557292
1.504008,24,0.575824
0.871465,24,0.590154
1.228507,24,0.604175
0.329493,24,0.615944
-0.471486,24,0.622966
0.319259,24,0.625797
0.446254,24,0.641344
1.210986,24,0.653171
2.461667,24,0.655154
1.378888,24,0.666959
-0.873224,24,0.67319
1.938291,24,0.684554
0.8178,24,0.693284
1.216701,24,0.700466
1.327666,24,0.714116
-1.142536,24,0.724177
0.873194,24,0.726757
2.087677,24,0.735246
0.043657,24,0.745112
1.802356,24,0.761416
2.57798,24,0.773414
0.984087,24,0.775455
-1.767838,24,0.785183
0.665582,24,0.795125
0.789643,24,0.805248
1.120123,24,0.805248
1.802978,24,0.817958
0.419828,24,0.826669
-1.755788,24,0.840568
1.303778,24,0.845165
1.019672,24,0.855143
1.236411,24,0.868605
2.376673,24,0.875257
2.178212,24,0.883195
1.04732,24,0.890215
1.568219,24,0.905217
1.01102,24,0.905217
1.005285,24,0.920182
2.418095,24,0.926713
-1.443031,24,0.947365
2.088434,24,0.959719
1.641996,24,0.967996
1.764913,24,0.974166
0.260467,24,0.985225
0.734977,24,0.990751
0.934751,24,0.999369
1.697207,24,1.007213
-0.105277,24,1.017629
0.190182,24,1.026725
-0.047508,24,1.035141
-0.951143,24,1.041777
0.329279,24,1.052948
1.276628,24,1.055121
0.29495,24,1.06512
0.078473,24,1.072972
1.595162,24,1.076565
1.612605,24,1.085191
0.076656,24,1.09512
1.063512,24,1.102976
0.081568,24,1.115113
1.341615,24,1.125697
0.451079,24,1.134212
-1.04455,24,1.144119
1.866332,24,1.15512
0.374754,24,1.15512
-0.076957,24,1.167495
-1.859252,24,1.178179
0.997549,24,1.186272
2.156346,24,1.195129
0.886777,24,1.205114
0.547228,24,1.205114
0.352559,24,1.217953
0.444811,24,1.225643
-0.15373,24,1.234166
-0.19259,24,1.243227
0.866989,24,1.254122
1.105556,24,1.25512
2.621623,24,1.267931
-0.737305,24,1.272971
0.576053,24,1.284171
0.528406,24,1.294126
-1.602024,24,1.301386
0.913094,24,1.305115
0.437316,24,1.319354
0.994576,24,1.326665
1.878326,24,1.335238
1.239395,24,1.345131
-0.168396,24,1.357941
1.706791,24,1.367909
2.362676,24,1.374133
0.947393,24,1.375132
1.907441,24,1.390513
0.210309,24,1.400399
1.393433,24,1.405403
2.829986,24,1.412934
1.729468,24,1.423235
2.702614,24,1.426717
0.656616,24,1.440292
1.083991,24,1.445114
1.889302,24,1.455113
-0.43883,24,1.455113
0.757909,24,1.467921
0.283216,24,1.475193
2.455759,24,1.485711
1.17561,24,1.495126
2.170425,24,1.502911
1.45503,24,1.505116
0.173959,24,1.5179
-0.933974,24,1.526791
-1.235153,24,1.536711
1.190547,24,1.54327
-0.401731,24,1.555204
-1.0585,24,1.555204
2.722325,24,1.56792
1.15773,24,1.575124
1.030098,24,1.590802
0.469898,24,1.595124
