#{"t_start": 1763982208.7895398, "env_id": "None"}
r,l,t
1.866936,24,0.277121
-0.586129,24,0.321351
1.045159,24,0.370528
-1.748014,24,0.401561
1.121219,24,0.44138
0.069106,24,0.720104
-0.744004,24,0.771452
1.348734,24,0.816391
0.992403,24,0.841362
1.724875,24,0.890356
-1.129876,24,1.041366
0.932131,24,1.08265
0.339663,24,1.117796
1.441889,24,1.156476
-0.620825,24,1.189527
1.492656,24,1.221358
0.10809,24,1.370311
0.127038,24,1.404065
1.001077,24,1.441401
1.280315,24,1.48036
-0.052726,24,1.521357
1.922457,24,1.659403
-1.807891,24,1.691401
1.914315,24,1.731372
1.446243,24,1.784023
2.082128,24,1.820727
0.154354,24,1.951435
-0.261864,24,1.99262
0.160731,24,2.041408
0.831901,24,2.101469
1.307136,24,2.151352
-0.655089,24,2.200499
0.443298,24,2.381488
1.73249,24,2.420358
-1.035015,24,2.450426
0.99876,24,2.483692
1.224935,24,2.521359
0.897869,24,2.658957
0.49971,24,2.701448
-0.949006,24,2.735765
-1.407763,24,2.769068
1.800578,24,2.802486
0.001167,24,2.951379
1.51595,24,3.009231
0.280944,24,3.063345
1.036579,24,3.110618
1.197148,24,3.141365
-0.461194,24,3.184247
-0.230504,24,3.334571
2.033607,24,3.380365
1.124773,24,3.417988
-1.22047,24,3.45956
0.669606,24,3.500857
-1.581787,24,3.651346
-1.801979,24,3.695273
-0.490552,24,3.740488
0.983416,24,3.785105
2.88739,24,3.816617
0.931512,24,3.981563
0.75619,24,4.011367
0.884514,24,4.041356
1.137201,24,4.091318
2.129052,24,4.121352
1.492757,24,4.167983
-0.72387,24,4.312855
-0.864741,24,4.360404
0.358304,24,4.401453
-1.480147,24,4.444081
1.315951,24,4.481348
2.663155,24,4.643426
2.160049,24,4.683957
0.076797,24,4.716862
2.371478,24,4.751589
2.0112,24,4.783491
-0.864098,24,4.921339
2.380024,24,4.96184
-0.219649,24,5.000376
-0.411736,24,5.034746
0.28826,24,5.071363
-0.024723,24,5.101472
0.288802,24,5.276394
-1.060209,24,5.303822
1.004583,24,5.342367
-0.603314,24,5.370211
0.675331,24,5.417347
1.310053,24,5.561376
-1.375865,24,5.591368
1.556728,24,5.62135
1.400145,24,5.668018
2.056682,24,5.691398
-1.46002,24,5.834475
-0.923536,24,5.87136
1.893524,24,5.91036
1.731351,24,5.950089
1.656231,24,5.991361
-0.610721,24,6.031396
-0.16008,24,6.222469
0.797889,24,6.272169
1.714095,24,6.301381
1.32308,24,6.341353
2.481255,24,6.371368
0.416991,24,6.511333
-0.058528,24,6.552195
0.476152,24,6.589571
1.711378,24,6.621367
-0.723616,24,6.651338
0.915266,24,6.804745
-1.240456,24,6.842034
1.368981,24,6.884864
-1.55884,24,6.911394
-1.460513,24,6.950749
1.455496,24,6.984332
-1.149146,24,7.13143
-0.795199,24,7.19247
1.551164,24,7.239134
0.513163,24,7.300092
1.684537,24,7.344508
-1.371752,24,7.491407
2.260027,24,7.55035
-0.431382,24,7.591389
-1.420526,24,7.641409
-0.243296,24,7.690287
